modules,inputs,outputs,registers,always_blocks,case_statements,adders,subtractors,and_operations,or_operations,estimated_area,estimated_power,estimated_performance
1,2,9,15,4,1,1,8,2,13,296,53.5,20
1,2,3,13,4,4,0,8,6,13,286,47.5,22
2,29,9,0,3,5,6,5,8,4,308,47.0,37
2,22,4,5,7,0,5,5,8,1,300,45.0,29
4,8,13,5,5,5,5,3,2,1,272,35.5,33
2,19,3,14,2,3,4,7,11,5,342,62.0,16
3,23,7,17,2,4,2,8,7,5,363,66.5,12
4,25,9,14,6,0,3,0,10,12,328,55.0,42
3,5,7,20,4,5,7,6,14,4,416,71.0,1
3,9,8,16,7,4,6,5,7,4,381,60.0,1
5,32,3,3,2,1,2,6,2,12,293,45.0,54
4,30,9,0,2,5,8,4,10,3,337,50.0,36
3,28,6,29,1,5,4,8,5,3,439,88.5,1
3,13,5,23,3,4,8,0,10,15,392,72.0,5
1,8,12,19,4,0,3,1,2,15,276,55.0,34
1,9,5,30,3,2,8,6,6,6,424,86.0,1
3,26,12,28,8,0,3,3,2,10,418,79.0,1
1,15,8,0,2,5,0,3,2,1,137,19.0,72
3,5,8,17,8,1,8,2,15,7,395,63.0,1
4,27,7,6,2,5,6,5,13,13,384,61.0,28
4,4,4,3,7,5,5,1,7,6,258,27.0,39
2,29,5,27,3,2,7,3,2,14,423,85.5,1
5,7,2,0,2,1,2,6,15,15,274,35.5,60
2,26,2,10,7,0,6,4,14,9,371,60.5,19
4,32,5,12,5,1,0,8,1,10,347,58.0,27
1,4,16,32,3,0,8,1,5,2,363,79.5,1
5,5,8,25,2,4,3,0,2,13,314,57.5,24
5,21,9,13,6,1,4,6,4,9,386,61.0,14
4,21,3,0,8,4,1,1,6,8,234,23.0,60
2,23,3,15,6,2,2,7,9,0,338,58.0,12
5,20,4,8,5,0,1,8,4,8,322,48.0,33
3,14,11,13,5,4,7,4,1,2,342,55.5,7
4,18,2,0,6,1,4,2,14,13,285,35.5,56
5,1,4,4,3,4,0,5,4,13,231,27.0,55
2,3,10,23,1,2,3,3,3,11,291,60.0,23
5,27,5,15,3,1,6,0,5,10,334,58.0,35
4,16,9,10,2,3,0,7,7,6,291,48.0,40
4,23,10,14,4,0,3,6,10,8,370,64.5,24
1,18,12,32,7,5,8,5,0,3,471,90.5,1
3,12,9,2,2,4,6,5,10,13,315,47.0,38
5,8,13,12,5,0,6,0,6,11,315,49.0,37
4,5,11,20,2,5,4,8,9,13,418,73.0,1
3,26,10,8,4,3,6,2,9,12,345,56.5,34
5,1,10,18,4,3,5,7,14,14,434,70.5,1
2,31,6,5,5,4,5,1,7,9,295,46.0,43
2,13,5,1,1,1,7,1,14,13,250,40.0,61
